Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
49090884,Tender is the Flesh,Agustina Bazterrica,"Bazterrica, Agustina",Sarah Moses,"=""1982150920""","=""9781982150921""",4,3.88,Scribner,Paperback,211,2020,2017,2022/08/04,2022/03/07,,,read,"You may ask yourself what the fuck did I just read? I had to force myself to take breaks.. don’t let the short page count fool you, you probably won’t be able to read this but for 20 minutes at a time <br/><br/>Personally i love an unreliable narrator, I was definitely skeptical. 4/5. The book you wish you could put down and you’re weary of answering “oh what are you reading?”. <br/><br/>At times disgusting, unbelievable, or even “how could someone type the words on this actual page?”, moments.. <br/><br/>Be weary of trigger warnings before reading- abuse, animal abuse, SA, and graphic descriptions of dystopian society that seem so far gone, it’s insane. <br/><br/>Around pages 148-153.. I think could have been left out. I was warned by a friend to skip over it. <br/><br/>I should have listened. <br/><br/>You’ll read along, ask yourself what’s the point, and then have an “aha!” moment that the author literally saves for the last paragraph. <br/>",,,1,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",5,4.38,Ecco,Paperback,378,2012,2011,2022/07/23,2022/03/26,2022,2022 (#28),read,,,,1,0
58082714,The Nineties,Chuck Klosterman,"Klosterman, Chuck",,"=""0735217955""","=""9780735217959""",0,3.91,Penguin Press,Hardcover,370,2022,2022,,2022/07/30,to-read,to-read (#26),to-read,,,,0,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",0,4.52,Ballantine Books,Hardcover,476,2021,2021,,2022/07/20,to-read,to-read (#25),to-read,,,,0,0
59838811,Upgrade,Blake Crouch,"Crouch, Blake",,"=""0593157532""","=""9780593157534""",5,3.84,Ballantine Books,Hardcover,352,2022,2022,2022/07/20,2022/07/17,2022,2022 (#27),read,"There’s not a single person who shouldn’t read this book. I have no words, he’s done it again- this time, with morality, compassion, and quite literally the human race on the line. <br/><br/>-crouch potato ",,,1,0
59808037,How Not to Drown in a Glass of Water,Angie Cruz,"Cruz, Angie",,"=""1250208459""","=""9781250208453""",0,4.01,Flatiron Books,Hardcover,195,2022,2022,,2022/07/17,to-read,to-read (#24),to-read,,,,0,0
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""0735219117""","=""9780735219113""",5,4.43,G.P. Putnam’s Sons,ebook,384,2018,2018,2022/07/15,2022/07/15,2022,2022 (#26),read,"SPOILERS AHEAD, but here we goooo<br/><br/>First off i wish to preface this with- I’ve had this novel for a while now and not sure why i never had the urge to pick it up. Once hearing about the movie, i told myself that I would read it before the movie released. I woke up today realizing that was today- and started it this morning. I finished it tonight.  These are some thoughts that i communicated to my best friends immediately after giving 5 stars to this book that i just assumed (incorrectly) that i would dislike. I HAVE NOT SEEN THE FILM YET- again SPOILERS AHEAD for the NOVEL. <br/><br/>I loved that Tate was the only one who knew. <br/>I love that she had a motive but wouldn’t have been respected if she claimed self defense because she was the “marsh girl” I love how it highlighted isolation and finding peace in small things.  <br/>I love how the author explained loneliness that you nearly rely on EVERY TINY interaction to get by. That even a small conversation is okay for a few days- but if she didn’t have the interaction, she backslid. It reminded me of how much everyone needs someone. <br/>No matter how many people left her, only one came back. She had her guard up- but it was struck down by being honest with only one person- the only person she ever loved. She was strong to defend herself against Chase, and weak for not being able to participate in the privileged society- but that did not matter, Tate saw her for her potential- and even though he could have been exiled from the community for being so close to her, he was the only one- the only one- who believed she could be more than what everyone else said she was.<br/>even when she didn’t believe it herself. <br/><br/>Anyways, that was more of a brain dump than a formal review but- hey- for what it’s worth I’m elated that I read this novel, and I understand the hype now. ",true,,1,0
59088365,Honey & Spice,Bolu Babalola,"Babalola, Bolu",,"=""0063141485""","=""9780063141483""",2,3.94,William Morrow,Hardcover,368,2022,2022,2022/07/13,2022/07/01,,,read,,,,1,0
42283333,"Conviction (Anna and Fin, #1)",Denise Mina,"Mina, Denise",,"=""0316528501""","=""9780316528504""",2,3.55,Mulholland Books,Hardcover,376,2019,2019,2022/07/09,2022/06/29,2022,2022 (#25),read,,,,1,0
61149872,The Inmate,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,4.22,,Kindle Edition,388,2022,2022,,2022/07/07,to-read,to-read (#23),to-read,,,,0,0
54814676,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""0525657746""","=""9780525657743""",0,4.29,Knopf Publishing Group,Hardcover,242,2021,2021,,2022/07/01,to-read,to-read (#22),to-read,,,,0,0
59314709,Counterfeit,Kirstin Chen,"Chen, Kirstin",,"=""""","=""""",2,3.53,William Morrow,Hardcover,288,2022,2022,2022/06/10,2022/06/07,2022,2022 (#24),read,,,,1,0
55404546,Malibu Rising,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",3,4.08,Ballantine Books,Hardcover,369,2021,2021,2022/06/15,2022/06/10,2022,2022 (#23),read,,,,1,0
58587145,Woman of Light,Kali Fajardo-Anstine,"Fajardo-Anstine, Kali",,"=""0525511326""","=""9780525511328""",3,3.68,One World,Hardcover,336,2022,2022,2022/06/24,2022/06/21,2022,2022 (#22),read,,,,1,0
17788401,Ugly Love,Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",4,4.18,Atria Books,Kindle Edition,337,2014,2014,2022/06/29,2022/06/28,2022,2022 (#21),read,,,,1,0
55648820,Seven Days in June,Tia Williams,"Williams, Tia",,"=""""","=""""",0,4.09,Grand Central Publishing,Hardcover,336,2021,2021,,2022/06/22,to-read,to-read (#21),to-read,,,,0,0
7445,The Glass Castle,Jeannette Walls,"Walls, Jeannette",,"=""074324754X""","=""9780743247542""",0,4.30,Scribner,Paperback,288,2006,2005,,2022/06/16,to-read,to-read (#20),to-read,,,,0,0
